Model 511;https://audio-database.com/AGI/amp/model511-e.html;https://audio-database.com/AGI/amp/sammodel511.JPG
PR-50;https://audio-database.com/AMPLITON/amp/pr-50.html;https://audio-database.com/AMPLITON/amp/sampr-50.jpg
Partita C2;https://audio-database.com/AUDIOCURRENT/amp/partitac2.html;https://audio-database.com/AUDIOCURRENT/amp/sampartitac2.jpg
AD-C2N/AD-C2B;https://audio-database.com/AUDIO-DEVICES/amp/ad-c2.html;https://audio-database.com/AUDIO-DEVICES/amp/samad-c2.jpg
S2000MP;https://audio-database.com/AVINTERNATIONAL/amp/s2000mp.html;https://audio-database.com/AVINTERNATIONAL/amp/sams2000mp.JPG
K-1;https://audio-database.com/AYRE/amp/k-1.html;https://audio-database.com/AYRE/amp/samk-1.jpg
K-3;https://audio-database.com/AYRE/amp/k-3.html;https://audio-database.com/AYRE/amp/samk-3.jpg
K-5x;https://audio-database.com/AYRE/amp/k-5x.html;https://audio-database.com/AYRE/amp/samk-5x.jpg
WARLOCK;https://audio-database.com/BOWTECHNOLOGIES/amp/warlock.html;https://audio-database.com/BOWTECHNOLOGIES/amp/samwarlock.jpg
Model808mk3;https://audio-database.com/BURMESTER/amp/model808mk3.html;https://audio-database.com/BURMESTER/amp/sammodel808mk3.jpg
Model808mk5;https://audio-database.com/BURMESTER/amp/model808mk5.html;https://audio-database.com/BURMESTER/amp/sammodel808mk5.jpg
Model838mk2;https://audio-database.com/BURMESTER/amp/model838mk2.html;https://audio-database.com/BURMESTER/amp/sammodel838mk2.jpg
Model846mk2;https://audio-database.com/BURMESTER/amp/model846mk2.html;https://audio-database.com/BURMESTER/amp/sammodel846mk2.jpg
Model877;https://audio-database.com/BURMESTER/amp/model877.html;https://audio-database.com/BURMESTER/amp/sammodel877.jpg
Model897;https://audio-database.com/BURMESTER/amp/model897.html;https://audio-database.com/BURMESTER/amp/sammodel897.jpg
C100;https://audio-database.com/CAMBRIDGE-AUDIO/amp/c100.html;https://audio-database.com/CAMBRIDGE-AUDIO/amp/samc100.jpg
C-1;https://audio-database.com/CARVER/amp/c-1.html;https://audio-database.com/CARVER/amp/samc-1.jpg
Encore;https://audio-database.com/CELLO/amp/encore.html;https://audio-database.com/CELLO/amp/samencore.jpg
Encore 1M Ω L;https://audio-database.com/CELLO/amp/encore1mohml.html;https://audio-database.com/CELLO/amp/samencore1mohml.jpg
CP-35mk2;https://audio-database.com/CLASSE/amp/cp-35mk2.html;https://audio-database.com/CLASSE/amp/samcp-35mk2.JPG
CP-47.5;https://audio-database.com/CLASSE/amp/cp-47-5.html;https://audio-database.com/CLASSE/amp/samcp-47-5.JPG
DB-1/DB-2;https://audio-database.com/DBSYSTEMS/amp/db-1-e.html;https://audio-database.com/DBSYSTEMS/amp/samdb-1.JPG
NY1 mkII;https://audio-database.com/DRG/amp/ny1mkii.html;https://audio-database.com/DRG/amp/samny1mkii.jpg
